Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
5/23/2011,700785,36562,27814,4974,762,3013,29925,0,3563,17515,0,0,80580,,,,,,69788,42518,0,15218,70844
5/24/2011,782850,28944,21271,4237,633,2804,29960,0,4944,20227,0,0,80580,,,,,,63384,38890,0,16116,81186
5/25/2011,937809,24705,17385,4049,603,2668,27231,0,5147,13080,0,0,80580,,,,,,72466,41373,0,20417,73306
5/26/2011,533492,23397,17110,3754,384,2148,27567,0,5331,11780,0,0,80580,,,,,,46540,35555,0,12531,49999
5/27/2011,425964,17811,12645,3025,266,1875,25949,0,3333,10799,0,0,80580,,,,,,39665,23761,0,12539,45842
5/28/2011,386124,15129,10596,2967,221,1346,25963,0,2362,11039,0,0,80580,,,,,,33818,23357,0,9058,48258
5/29/2011,413584,16656,11535,3426,204,1492,27445,0,2096,12642,0,0,80580,,,,,,36758,24487,0,9226,53342
5/30/2011,789513,20195,14312,3464,274,2145,30707,0,3408,23114,0,0,80580,,,,,,62226,40841,0,20359,102274
5/31/2011,667407,27723,20258,4331,673,2461,36106,0,4411,26839,0,0,80580,,,,,,57494,38421,0,13528,109367
6/1/2011,649016,27479,19035,4752,1039,2653,35149,0,3877,15888,0,0,261628,,,,,,58874,41174,0,14628,58328
6/2/2011,585814,22572,14368,4542,1050,2612,33427,0,3517,13663,0,0,261628,,,,,,57086,37441,0,12991,56021
6/3/2011,519383,20087,12021,4020,1607,2439,32633,0,3149,12051,0,0,261628,,,,,,46797,31813,0,11813,47440
6/4/2011,444963,17987,11018,3928,1219,1822,30077,0,2449,11613,0,0,261628,,,,,,42028,27632,0,9315,48241
6/5/2011,627233,22493,14122,4715,1687,1969,32003,0,2707,13694,0,0,261628,,,,,,59710,39095,0,15806,58214
6/6/2011,785640,28078,17382,5613,2672,2412,33685,0,3689,14133,0,0,261628,,,,,,68802,48269,0,16831,70739
6/7/2011,795322,28202,18537,5053,1622,2991,32636,0,4148,17284,0,0,261628,,,,,,73243,44572,0,19339,79716
6/8/2011,1051879,27122,17805,4838,1483,2996,32592,0,5182,20259,0,0,261628,,,,,,86830,53180,0,21381,105169
6/9/2011,1338311,27136,17640,4586,2205,2705,35414,0,7059,23872,0,0,261628,,,,,,98940,63275,0,32734,127955
6/10/2011,566191,20691,11683,3898,2631,2479,30729,0,6653,16079,0,0,261628,,,,,,50171,40856,0,12718,63587
6/11/2011,548863,19085,10830,4028,2207,2020,29768,0,2395,17643,0,0,261628,,,,,,47733,36877,0,12610,67655
6/12/2011,884901,24845,14418,4936,2956,2534,30802,0,3654,23146,0,0,261628,,,,,,81946,64713,0,18113,90055
6/13/2011,919110,31576,18768,5709,4138,2961,32068,0,4148,17116,0,0,261628,,,,,,82174,70570,0,22136,86419
6/14/2011,1067466,31640,18597,5825,3937,3281,30214,0,5110,18647,0,0,261628,,,,,,93650,67093,0,24343,95444
6/15/2011,582203,28411,16853,5900,3380,2278,35863,0,3616,16023,0,0,261628,,,,,,57496,40152,0,12618,63799
6/16/2011,571873,25696,15757,5552,2383,2004,34612,0,3516,14715,0,0,261628,,,,,,50061,36509,0,14501,60627
6/17/2011,457930,20926,12576,4666,1870,1813,25989,0,2941,13655,0,0,261628,,,,,,38510,30977,0,11997,56392
6/18/2011,388487,18082,11434,3645,1470,1534,24161,0,2306,13886,0,0,261628,,,,,,37124,28033,0,10194,53716
6/19/2011,483150,21718,13415,4950,1432,1921,24940,0,2115,16518,0,0,261628,,,,,,42275,30671,0,10792,71696
6/20/2011,752088,31463,21667,5466,1954,2377,29752,0,3776,22356,0,0,261628,,,,,,64544,44943,0,13967,114256
6/21/2011,799851,34072,25490,4737,1638,2207,27106,0,3825,19844,0,0,261628,,,,,,68555,41459,0,19499,118676
6/22/2011,1036901,32287,24137,4703,972,2474,26974,0,5521,23321,0,0,261628,,,,,,77153,47681,0,21451,165987
6/23/2011,499770,35736,28014,4833,575,2314,26833,0,5075,16837,0,0,261628,,,,,,42574,36368,0,9340,54855
6/24/2011,429563,24314,18054,4127,493,1640,25967,0,2377,17363,0,0,261628,,,,,,39913,32088,0,9346,58043
6/25/2011,436670,18343,12481,4062,498,1303,24035,0,1917,20418,0,0,261628,,,,,,34665,28378,0,9656,66735
6/26/2011,649431,23684,16522,4875,647,1640,24502,0,2311,33626,0,0,261628,,,,,,55080,39417,0,14774,97705
6/27/2011,801171,26837,18617,5288,432,2499,26378,0,3503,52034,0,0,261628,,,,,,61974,50253,0,17957,127871
6/28/2011,734912,12958,7952,3043,104,1858,26591,0,3661,73354,0,0,261628,,,,,,54229,14795,0,15163,162087
6/29/2011,650680,9644,4830,2883,0,1931,23992,0,3913,29949,0,0,261628,,,,,,56872,15527,0,15429,94956
6/30/2011,567615,10495,4854,3843,0,1797,27876,0,3267,35181,0,0,261628,,,,,,43930,29918,0,12137,151312
7/1/2011,358674,12167,7828,2971,258,1110,11813,0,2883,11348,0,0,161384,,,,,,36142,25963,0,8666,35812
7/2/2011,280478,12353,7527,3644,394,788,11032,0,1784,8395,0,0,161384,,,,,,28653,21742,0,7802,28372
7/3/2011,356349,14525,8949,4181,310,1086,11648,0,1645,9167,0,0,161384,,,,,,32372,22992,0,8659,29474
7/4/2011,488464,17677,8037,8177,371,1092,12799,0,2188,10648,0,0,161384,,,,,,49771,30772,0,13072,42297
7/5/2011,733080,31305,22833,6053,786,1633,17937,0,2858,15010,0,0,161384,,,,,,65271,47306,0,21561,51162
7/6/2011,614058,39132,30880,5880,705,1668,16296,0,3553,14918,0,0,161384,,,,,,63095,39602,0,13486,48292
7/7/2011,487986,35858,27858,5654,660,1686,13899,0,2723,11986,0,0,161384,,,,,,54559,35358,0,9713,40215
7/8/2011,429735,24292,16500,5603,724,1465,16373,0,2369,10700,0,0,161384,,,,,,45321,32221,0,9773,40284
7/9/2011,374842,19723,12818,5158,550,1196,11590,0,1959,10535,0,0,161384,,,,,,42778,25317,0,8656,36081
7/10/2011,493943,24489,16169,6072,747,1501,12868,0,2060,13601,0,0,161384,,,,,,55601,35781,0,9858,53210
7/11/2011,601991,32748,23239,6862,917,1730,15344,0,2711,15844,0,0,161384,,,,,,63108,40561,0,13900,67412
7/12/2011,657904,30527,22369,5667,845,1646,15781,0,3545,13477,0,0,161384,,,,,,61315,41866,0,15900,48744
7/13/2011,795577,28802,21208,5051,921,1622,15565,0,3806,12788,0,0,161384,,,,,,72165,40987,0,18744,52149
7/14/2011,434698,24030,17152,4563,900,1414,14515,0,3994,11163,0,0,161384,,,,,,45923,30326,0,9555,36803
7/15/2011,408697,22616,16125,4310,763,1418,13824,0,2108,10586,0,0,161384,,,,,,49341,28379,0,9380,36101
7/16/2011,403202,20356,14485,4146,699,1026,12514,0,2153,10401,0,0,161384,,,,,,45616,31768,0,10375,38668
7/17/2011,632961,27037,19897,5103,901,1136,14464,0,2547,11667,0,0,161384,,,,,,76245,17751,0,14547,48061
7/18/2011,603495,35135,26668,5654,1130,1683,16705,0,3528,13231,0,0,161384,,,,,,64078,44126,0,14863,46460
7/19/2011,583108,34690,26493,5511,1045,1641,16721,0,3141,13128,0,0,161384,,,,,,62420,39823,0,14470,45626
7/20/2011,821047,31368,23154,5623,998,1594,15813,0,3523,12716,0,0,161384,,,,,,67761,45235,0,17630,56323
7/21/2011,528314,25999,18706,4829,917,1547,15814,0,3522,13982,0,0,161384,,,,,,57799,36215,0,13526,42579
7/22/2011,472827,23137,16165,4663,727,1582,14996,0,2504,12747,0,0,161384,,,,,,51840,30573,0,10983,41720
7/23/2011,411406,20322,13838,4491,639,1354,12976,0,2074,11338,0,0,161384,,,,,,46828,30972,0,12485,35463
7/24/2011,558049,25533,18297,5136,815,1285,14933,0,2545,13724,0,0,161384,,,,,,61700,37473,0,14991,45796
7/25/2011,737152,33764,25057,5904,1122,1680,18734,0,3347,19043,0,0,161384,,,,,,67884,44089,0,17019,58509
7/26/2011,807359,30718,22457,5458,1050,1753,19993,0,3373,29208,0,0,161384,,,,,,72453,43358,0,19820,76834
7/27/2011,1020619,27276,19404,5130,934,1808,22015,0,4955,36492,0,0,161384,,,,,,87843,52302,0,26343,97762
7/28/2011,656327,25500,18139,5023,762,1576,20938,0,4867,28447,0,0,161384,,,,,,61939,35937,0,16259,76704
7/29/2011,552360,23086,16521,4541,714,1310,20273,0,3805,29280,0,0,161384,,,,,,50731,35020,0,12853,77286
7/30/2011,511493,20602,14400,4395,585,1222,22060,0,2769,36235,0,0,161384,,,,,,45922,28193,0,12217,85605
7/31/2011,803115,28214,19818,5779,861,1757,31398,0,3523,82079,0,0,161384,,,,,,73020,42810,0,17439,187902
8/1/2011,905196,35562,27018,5726,1010,1807,25239,0,4692,50648,0,0,161384,,,,,,78844,47527,0,19189,120000
8/2/2011,810226,37691,29107,5590,1393,1601,20224,0,4938,12428,0,0,161384,,,,,,81346,45522,0,19359,47581
8/3/2011,1140315,35739,27531,5349,1352,1506,18549,0,5537,12346,0,0,161384,,,,,,94434,53914,0,28216,58707
8/4/2011,500785,33614,26104,4718,1404,1389,15922,0,5662,10731,0,0,161384,,,,,,51915,31858,0,13394,36287
8/5/2011,416079,33564,27008,4084,1185,1286,14982,0,2699,9455,0,0,161384,,,,,,45709,29758,0,11025,32037
8/6/2011,391878,29836,23404,4133,1153,1147,14066,0,2173,9290,0,0,161384,,,,,,46711,28071,0,11743,32309
8/7/2011,527458,46432,37872,5455,1606,1499,16226,0,2739,11636,0,0,161384,,,,,,69686,39826,0,14863,37686
8/8/2011,617762,50462,41880,5348,1796,1438,17189,0,3428,12284,0,0,161384,,,,,,70696,38379,0,19279,46369
8/9/2011,669559,47787,39089,5694,1481,1523,20058,0,4112,17685,0,0,161384,,,,,,75426,42287,0,18092,47311
8/10/2011,687053,44806,37071,5047,1310,1378,21297,0,4203,17449,0,0,161384,,,,,,66467,38946,0,19731,48401
8/11/2011,504802,36278,28965,4764,1199,1349,16417,0,4077,10051,0,0,161384,,,,,,54136,28294,0,14477,32765
8/12/2011,408331,29326,22498,4676,1006,1147,13739,0,3205,9331,0,0,161384,,,,,,44108,26287,0,11402,31114
8/13/2011,395941,26739,19591,5137,931,1080,12534,0,2357,9568,0,0,161384,,,,,,43103,24988,0,12121,31101
8/14/2011,571733,34656,26520,5606,1267,1264,14315,0,3271,11482,0,0,161384,,,,,,66968,39343,0,18273,44435
8/15/2011,711063,41431,32177,6391,1356,1507,16860,0,4160,13807,0,0,161384,,,,,,74717,42737,0,21074,48485
8/16/2011,685858,39535,30945,5783,1314,1493,16774,0,4282,12809,0,0,161384,,,,,,69773,38334,0,19325,49050
8/17/2011,808429,36756,27307,6585,1287,1577,16976,0,4748,13971,0,0,161384,,,,,,74159,44173,0,22586,56527
8/18/2011,520564,34896,25606,6583,1185,1522,14929,0,4695,13817,0,0,161384,,,,,,54785,33074,0,13658,40185
8/19/2011,443254,30898,22626,5729,1276,1267,13660,0,2628,11626,0,0,161384,,,,,,47627,28687,0,12176,38147
8/20/2011,424824,27839,19523,6052,1034,1230,12725,0,2260,10206,0,0,161384,,,,,,45626,26148,0,9814,34183
8/21/2011,700007,36711,26761,7133,1208,1609,15148,0,2818,12037,0,0,161384,,,,,,70996,40353,0,17897,45577
8/22/2011,763026,48416,37697,7302,1532,1884,17468,0,3663,15021,0,0,161384,,,,,,66854,40946,0,21616,50940
8/23/2011,901384,46482,35959,6957,1703,1863,16824,0,3904,13498,0,0,161384,,,,,,74932,43805,0,23439,55549
8/24/2011,1391100,35357,25036,6881,1522,1917,17843,0,3896,12428,0,0,161384,,,,,,104321,53240,0,32702,68569
8/25/2011,478774,32374,23487,6076,1326,1485,19319,0,5886,10535,0,0,161384,,,,,,49934,28549,0,13787,39687
8/26/2011,378875,26938,19767,4951,983,1237,18792,0,2414,8879,0,0,161384,,,,,,40468,26149,0,11446,34813
8/27/2011,405417,27427,18816,5565,1109,1937,14142,0,2287,8385,0,0,161384,,,,,,31916,9362,0,8869,28047
8/28/2011,569267,32536,22945,6736,1405,1449,15954,0,2489,11399,0,0,161384,,,,,,63487,38147,0,14290,44130
8/29/2011,550628,34434,25234,6028,1705,1467,18226,0,3067,13519,0,0,161384,,,,,,56227,36240,0,14702,46910
8/30/2011,566370,36714,27058,6501,1699,1456,18720,0,3184,15988,0,0,161384,,,,,,54689,34668,0,13571,51284
8/31/2011,669026,35588,25336,6234,1931,2087,22083,0,3707,22099,0,0,161384,,,,,,57101,35020,0,17550,66876
9/1/2011,490928,32543,23905,5932,1390,1316,16047,0,3806,11502,0,0,161384,,,,,,48301,32524,0,12423,41361
9/2/2011,422440,27616,19618,5613,1152,1233,13504,0,2654,10072,0,0,161384,,,,,,45000,26909,0,11059,35316
9/3/2011,378487,25770,18119,5260,1165,1226,13329,0,2165,10329,0,0,161384,,,,,,37938,24190,0,9972,34674
9/4/2011,486052,31232,22961,5746,1320,1204,14330,0,2198,12068,0,0,161384,,,,,,48485,32075,0,12431,40510
9/5/2011,889722,37388,26685,7030,1759,1914,18612,0,4044,16759,0,0,161384,,,,,,87276,53631,0,24821,66471
9/6/2011,1286342,41840,29776,7484,2376,2204,21295,0,5425,18128,0,0,161384,,,,,,87930,61064,0,35577,76870
9/7/2011,835752,39353,28773,6804,2040,1736,18528,0,5714,16667,0,0,161384,,,,,,84370,48074,0,25289,64471
9/8/2011,425854,34422,24461,6179,1813,1969,14328,0,3845,12089,0,0,161384,,,,,,43092,27053,0,10210,39189
9/9/2011,340986,27823,19398,5462,1658,1305,13814,0,2224,10700,0,0,161384,,,,,,36762,22789,0,9978,34113
9/10/2011,336666,23759,15328,5655,1523,1253,13178,0,1876,11358,0,0,161384,,,,,,32679,23527,0,11541,36549
9/11/2011,478706,29681,19622,6378,2072,1609,15207,0,2435,16368,0,0,161384,,,,,,50200,33318,0,13334,52186
9/12/2011,528191,33991,22800,7096,2335,1760,16515,0,2633,16770,0,0,161384,,,,,,49523,34633,0,12610,52856
9/13/2011,518818,33271,22664,6719,2196,1692,14797,0,3083,13210,0,0,161384,,,,,,50018,35305,0,15514,49143
9/14/2011,593233,29272,19672,5761,2213,1626,15344,0,3119,12603,0,0,161384,,,,,,52089,30407,0,15253,47235
9/15/2011,587068,26197,17811,4826,1921,1639,15228,0,4002,14249,0,0,161384,,,,,,50875,32753,0,15043,49058
9/16/2011,450588,21392,14403,3867,1707,1415,13649,0,2353,12788,0,0,161384,,,,,,42147,23366,0,11802,42473
9/17/2011,463241,20559,12918,4655,1661,1324,12482,0,1868,12603,0,0,161384,,,,,,41497,26437,0,10691,44662
9/18/2011,648531,26993,18008,5046,2172,1767,14891,0,2868,16410,0,0,161384,,,,,,58100,12585,0,15688,58920
9/19/2011,789154,30887,20429,5433,2242,2782,16857,0,3671,19980,0,0,161384,,,,,,58599,37545,0,20451,71576
9/20/2011,932412,29742,19406,5259,2735,2341,16924,0,3899,22582,0,0,161384,,,,,,67713,44325,0,21426,83374
9/21/2011,1645700,27596,17667,4756,2718,2455,18929,0,5104,24187,0,0,161384,,,,,,84880,53091,0,36399,109099
9/22/2011,479026,24835,15735,5170,2229,1700,17618,0,4865,22480,0,0,161384,,,,,,43096,29669,0,12212,61603
9/23/2011,434284,21697,13543,4661,1996,1496,18278,0,2706,23159,0,0,161384,,,,,,38455,24167,0,12471,59628
9/24/2011,454581,21366,12843,5019,2052,1452,19483,0,2545,27418,0,0,161384,,,,,,40546,24277,0,12744,68140
9/25/2011,897363,26888,16990,6016,2086,1797,27200,0,3346,57747,0,0,161384,,,,,,66550,43076,0,19821,144647
9/26/2011,841614,31085,19967,6384,2278,2456,29833,0,4063,82593,0,0,161384,,,,,,59086,39659,0,18241,205734
9/27/2011,636685,28511,18108,6178,2171,2053,21242,0,4005,23405,0,0,161384,,,,,,53633,40356,0,17108,69537
9/28/2011,1061267,26002,16455,5529,2155,1862,22507,0,3718,20720,0,0,161384,,,,,,71143,49200,0,24560,69544
9/29/2011,408084,23352,14506,5070,2122,1655,21205,0,3113,12963,0,0,161384,,,,,,42874,22019,0,10354,45929
9/30/2011,443037,17433,9806,4307,1966,1353,15384,0,2214,14465,0,0,161384,,,,,,42789,24296,0,10463,55696
10/1/2011,360450,18089,10085,4972,1747,1284,25475,0,1231,11085,0,0,171014,,,,,,36536,22347,0,9045,36891
10/2/2011,603506,21460,12099,6050,1842,1470,29131,0,1463,13758,0,0,171014,,,,,,62691,41011,0,14398,52548
10/3/2011,602616,35892,25238,6253,2726,1675,30542,0,1786,14120,0,0,171014,,,,,,49982,52911,0,10761,48390
10/4/2011,596323,37696,26125,6938,2716,1917,29782,0,2328,13225,0,0,171014,,,,,,36364,55573,0,9537,42726
10/5/2011,780294,31690,20868,6451,2631,1740,30456,0,3218,14833,0,0,171014,,,,,,59750,49444,0,16051,56579
10/6/2011,424397,27331,17291,5790,2759,1491,23205,0,3707,11014,0,0,171014,,,,,,44143,27312,0,9570,39669
10/7/2011,345012,23550,14420,5148,2369,1612,21871,0,2805,9929,0,0,171014,,,,,,40796,25348,0,7910,34560
10/8/2011,348966,22774,14015,5247,2296,1216,21323,0,1955,9999,0,0,171014,,,,,,36074,25175,0,8395,37363
10/9/2011,497532,29118,17713,6834,2771,1799,25474,0,2467,14160,0,0,171014,,,,,,53146,35595,0,11373,50624
10/10/2011,640497,35743,24120,6805,3092,1726,28499,0,3453,15165,0,0,171014,,,,,,59646,47692,0,15490,54223
10/11/2011,610782,36709,26251,5417,3357,1684,28562,0,3864,14130,0,0,171014,,,,,,55394,41412,0,12824,53496
10/12/2011,684759,37863,27270,5339,3344,1910,28953,0,3585,14652,0,0,171014,,,,,,65632,40554,0,16632,55427
10/13/2011,571584,32903,22899,5209,3066,1729,26706,0,4282,13457,0,0,171014,,,,,,52655,37489,0,12677,50462
10/14/2011,469239,27157,17925,5038,2780,1415,25922,0,3728,12321,0,0,171014,,,,,,42473,29104,0,11861,48646
10/15/2011,451013,25060,15313,5333,3041,1373,24316,0,2809,13849,0,0,171014,,,,,,46640,28708,0,12412,47682
10/16/2011,631967,32907,20837,6733,3518,1820,27835,0,3373,16120,0,0,171014,,,,,,58601,42300,0,16564,61265
10/17/2011,757418,35798,24564,5583,3802,1849,28937,0,2822,16049,0,0,171014,,,,,,64532,47309,0,19402,66957
10/18/2011,787295,30443,21952,3149,3642,1700,29281,0,2151,18803,0,0,171014,,,,,,72083,41784,0,17471,68512
10/19/2011,1272311,26944,18532,3298,3342,1772,29225,0,5051,18190,0,0,171014,,,,,,88999,53866,0,25167,95704
10/20/2011,531981,23840,16142,2792,3173,1734,26888,0,6010,15678,0,0,171014,,,,,,46259,30862,0,11924,56304
10/21/2011,438146,12898,5574,2916,2903,1505,25640,0,2720,18723,0,0,171014,,,,,,45428,26006,0,10510,61575
10/22/2011,449764,14247,7393,2814,2587,1453,24227,0,2178,19838,0,0,171014,,,,,,45011,27954,0,10308,64548
10/23/2011,654121,23792,15819,3061,2926,1986,28425,0,3126,26652,0,0,171014,,,,,,63918,12274,0,14815,82686
10/24/2011,789919,26352,16167,4718,3274,2193,33019,0,4113,31064,0,0,171014,,,,,,69757,45957,0,16848,94633
10/25/2011,821619,24636,14112,4911,3443,2170,34368,0,4691,33395,0,0,171014,,,,,,71788,48545,0,19125,110359
10/26/2011,994956,31936,21249,4853,3684,2150,34040,0,5527,37465,0,0,171014,,,,,,90884,56277,0,23072,125542
10/27/2011,684235,29257,19211,3970,3508,2568,43405,0,5688,61866,0,0,171014,,,,,,54794,36970,0,15776,145589
10/28/2011,609605,27779,18257,3853,3265,2405,39596,0,3805,64298,0,0,171014,,,,,,48823,32448,0,12810,176578
10/29/2011,553475,29539,19465,4634,3074,2366,30311,0,3568,21376,0,0,171014,,,,,,58398,33415,0,11838,69403
10/30/2011,763836,42402,31025,5253,3395,2729,34382,0,3110,20883,0,0,171014,,,,,,85951,48481,0,16736,83810
10/31/2011,737466,46840,35477,5865,3075,2424,47023,0,3999,29184,0,0,171014,,,,,,65862,43959,0,14159,64335
11/1/2011,889035,59608,42525,9100,5191,2792,38978,0,4951,19768,0,0,4219833,,,,,,87076,51884,0,19001,77987
11/2/2011,1273755,57423,40371,8367,4814,3872,43220,0,6075,24773,0,0,4219833,,,,,,109888,64798,0,26825,104464
11/3/2011,1153192,40021,25763,6932,4380,2946,36547,0,7573,19074,0,0,4219833,,,,,,101599,63190,0,25546,106146
11/4/2011,682797,32147,21306,5789,2651,2402,33746,0,6925,16029,0,0,4219833,,,,,,65363,41789,0,17645,66679
11/5/2011,779426,45353,31828,5950,4931,2644,35923,0,4218,19476,0,0,4219833,,,,,,80252,53985,0,18652,83942
11/6/2011,1290648,76706,58902,7916,6083,3805,39551,0,5269,21114,0,0,4219833,,,,,,127260,78686,0,28054,110386
11/7/2011,1866145,71628,56334,6279,5864,3151,42494,0,10104,22341,0,0,4219833,,,,,,160446,91993,0,42034,145650
