DATE,SEMREVENUE,DISPLAYREVENUE,PARTNERREVENUE,AFFILIATEREVENUE,DIRECTMAILREVENUE,EMAILREVENUE,NATURALSEARCHREVENUE,PUREORGANICREVENUE,SHARESITESREVENUE,UNKNOWNREVENUE,TOTALREVENUE,SEMCOST,DISPLAYCOST,PARTNERCOST,AFFILIATECOST,DIRECTMAILCOST
3/20/2011,31058.95,649.69,54025.98,9815.17,3237.09,79991.05,32067.5,72967.37,47206.55,10216.64,341235.99,9832.111092,18899,44297,2382,13845
3/21/2011,29392.87,1156.79,62553.7,14771.87,3780.27,125196.57,33012.73,64435.45,54045.62,14160.31,402506.18,11065.88468,20618,64675,3209,13845
3/22/2011,23802.16,712.03,27902.44,11784.14,1874.05,104475.72,39123.92,64708.47,55131.62,13338.22,342852.77,10924.2553,25141,25790,3594,13845
3/23/2011,32431.56,622.22,34187.46,15276.7,2773.25,112582.12,40477.5,72884.25,58393.53,12106.91,381735.5,10438.35762,27010,28853,3666,13845
3/24/2011,19065.41,615.51,21456.69,7037.71,3709.69,60456.57,22679.38,47862.24,33351.21,8009.94,224244.35,21717.62649,24787,19436,3330,13845
3/25/2011,18101.32,160.59,18820.79,5200.23,2213.71,49971.49,18857.41,45126.11,28926.26,4825.2,192203.11,27129.17293,31854,17829,1782,13845
3/26/2011,23475.06,209.73,20200.84,7401.88,1367.23,46633.51,20082.39,50930.53,32822.71,6440.66,209564.54,24045.43516,42857,16524,1643,13845
3/27/2011,44866.54,526.82,32713.92,14708.97,1696.97,147601.87,33156.72,86888.66,60753.1,15609.56,438523.13,24769.09462,40799,25137,2736,13845
3/28/2011,43519.63,1257.39,33509.78,12636.54,2456.13,153961.89,36532.72,73774.53,56086.13,16079.99,429814.73,21347.42289,43142,24760,3055,13845
3/29/2011,24227.56,236.45,23347.61,8611.02,2227.35,46404.97,19858.52,49652.62,37100.92,5761.83,217428.85,7906.399595,36986,23191,2889,13845
3/30/2011,23039.9,604.5,27159.94,7953.97,2779.06,47989.79,18214.64,47963.89,39046.25,5803.44,220555.38,11613.7441,28601,31026,1855,13845
3/31/2011,29074.39,664.23,34775.12,11918.93,2819.4,88659.97,25242.3,48827.53,48011.45,12955.73,302949.05,18135.76006,20929,49219,2464,13845
4/1/2011,21048.24,1360.34,19731.57,6928.48,1203.45,52860.95,19472.76,49417.26,36146.49,7952.78,216122.32,34372.24494,15930,8247,2359,9948
4/2/2011,25632.88,1414.36,19804.9,7739.36,1745.82,50772.51,22163.59,49095.32,32811.15,7522.36,218702.25,31212.26668,15239,8749,1598,9948
4/3/2011,36300.67,19778.95,24190.18,12196.29,1350.77,69717.68,29221.24,53857.32,47967.2,9535.05,304115.35,42509.40998,17058,11015,2020,9948
4/4/2011,36227.35,25211.9,22680.2,11446.59,1464.86,136744.63,30127.03,50544.62,52635.72,22496.9,389579.8,56871.1578,19757,10472,2959,9948
4/5/2011,33938.13,23968.22,23363.25,13440.45,1948.76,133210.36,32610.04,45490.69,49730.19,17074.51,374774.6,55466.11013,19268,11350,2785,9948
4/6/2011,47591.92,26025.35,23745.11,14711.79,2406.71,149096.3,34100.15,46378.46,66680.97,15474,426210.76,49668.02116,20751,12147,2617,9948
4/7/2011,24691.73,18048.39,15318.05,9531.09,1460.3,80602.58,22060.06,32488.51,34785.86,10871.9,249858.47,41804.23463,17644,8446,2277,9948
4/8/2011,21310.03,17369.82,14041.75,7877.44,1015.12,61050.87,19761.53,32051.21,32997.84,6299.33,213774.94,28515.01065,15957,7697,597,9948
4/9/2011,21500.39,17074.15,17768.85,6526.72,1118.61,57189.39,15714.42,35589.17,29475.56,5869.53,207826.79,27870.24824,16179,7800,396,9948
4/10/2011,33725.21,23132.65,23109.38,9397.27,1783.23,74809.75,27063.57,47625.43,43416.26,9113.4,293176.15,33658.95837,17044,9427,1151,9948
4/11/2011,31953.11,27648.1,22481.41,12539.94,2421.07,120250.06,30078.66,44066.97,51704.44,13945.6,357089.36,37868.51005,17713,9100,2276,9948
4/12/2011,31449.06,28001.83,24406.51,11800,1583.03,145818.8,30267.52,36201.92,54604.98,12233.91,376367.56,27760.80854,18706,11629,3018,9948
4/13/2011,36776.35,24785.07,31551.62,16255.17,1628.92,163289.59,38808.47,36694.77,58699.78,12249.22,420738.96,20588.57963,19300,14157,3315,9948
4/14/2011,23641.96,3687.21,19201.18,9788.55,1154.39,91855.47,27527.29,48199.3,41121.68,13059.28,279236.31,13768.32649,18059,10488,4185,9948
4/15/2011,24566.71,19283.69,19158.59,7908.47,1137.16,76816.5,18875.11,28619.83,31618.08,7620.84,235604.98,12326.33612,18221,10504,3327,9948
4/16/2011,23582.6,19956.58,23035.57,9594.3,844.32,68859.6,22855.86,39175.13,37124.42,7315.23,252343.61,12522.17951,18294,11342,2733,9948
4/17/2011,37287.03,28888.55,25151.47,11712.97,1356.87,100759.38,28233.4,47636,46167.41,10144.36,337337.44,15015.67996,19166,12450,2934,9948
4/18/2011,33178.39,29599.66,27199.52,13135.29,1777.76,77758.41,28226.5,44133.82,47439.46,8396.17,310844.98,23057.44964,21542,12426,3478,9948
4/19/2011,35655.34,33160.71,25322.9,10887.2,904.49,112171.94,25152,40387.52,42440.24,13452.43,339534.77,26904.95982,21419,12698,3087,9948
4/20/2011,28369.01,22534.81,27432.71,10146.13,931.53,87256.43,26203.79,38750.14,39285.06,10065.56,290975.17,28540.41984,23195,14125,2965,9948
4/21/2011,28000.18,19017.21,26940.54,11180.71,1511.68,115553.53,26869.82,40084.26,38607.82,12861.51,320627.26,24181.66995,23076,15561,2753,9948
4/22/2011,30388.59,16782.83,23651.78,8559.31,2276.25,103367.87,25118.3,43247.3,36056.03,8828.57,298276.83,16304.69978,21864,13256,1043,9948
4/23/2011,26302.37,16673.25,22135.46,9993.77,2482.82,71688.97,24417.59,39517.18,34329.92,9001.47,256542.8,12594.41004,20444,11405,888,9948
4/24/2011,32725.96,19051.16,25816.77,10565.13,1901.91,80240.99,27001.24,52532.09,47132.7,7251.23,304219.18,13551.17018,20829,11796,1510,9948
4/25/2011,46868.51,23617.44,37746.25,16045.06,3649.66,170778.23,40585.04,76506.34,76177.08,21036.32,513009.93,24738.4995,25285,18600,3538,9948
4/26/2011,48003.39,20366.37,40557.92,20921,4161.85,162493.88,42201.29,69769.21,74755.07,15971.34,499201.32,31092.9403,23505,18528,3268,9948
4/27/2011,57330.16,22764.53,48255.91,24067.31,5092.48,281993.91,48606.59,89467.8,84918.45,32894.73,695391.87,28026.96026,20483,18695,2134,9948
4/28/2011,57572.48,19543.85,49128.76,19834.26,6592.63,307952.32,50096.54,95894.94,97686.58,66889.68,771192.04,26175.82017,20367,19748,7522,9948
4/29/2011,24654.49,11248.03,27548.19,12460.49,5670.82,106847.7,24872.07,63458.79,49587.19,13488.32,339836.09,24093.41981,17197,13631,6320,9948
4/30/2011,37077.37,29837.75,38110.49,14750.65,9160.54,123911.06,38130.31,65839.22,62756.19,13794.24,433367.82,20679.1002,19773,15449,3071,9948
5/1/2011,72323.29,49675.6,58097.73,25520.72,2646.47,260690.5,58687.01,106814.77,102917.52,31875.22,769248.83,28058.31997,21967,23281,4638,3838
5/2/2011,53658.19,46734.82,41275.8,20783.08,1835.16,126743.38,43294.7,71279.37,77844.99,18051.37,501500.86,38128.44012,19589,19341,5542,3838
5/3/2011,53271.84,50975.09,49025.76,22424.73,1868.42,194969.27,47802.23,69705.19,80194.35,25082.84,595319.72,42336.68978,20757,20578,4379,3838
5/4/2011,36864.39,36187.12,29845.96,10301.58,3635.1,89584.77,30664.23,41561.4,49744.03,9379.75,337768.33,32818.88006,19391,17331,3951,3838
5/5/2011,31682.79,30882.63,26041.49,10323,2168.41,61233.28,26445.74,35380.97,41181.06,8907.93,274247.3,27844.38008,22540,15752,2920,3838
5/6/2011,28072.4,21079.05,22995.97,11259.63,1717.43,68195.87,25796.81,27600.66,38325.66,8215.69,253259.17,22614.39017,22711,13599,2823,3838
5/7/2011,24947.73,22469.74,23802.72,9034.92,1383.08,69219.87,19634.67,28828.53,26445.68,7834.62,233601.56,19894.72026,23342,13511,2275,3838
5/8/2011,42145.91,33398.96,33989.39,17344.95,1388.21,232664.83,32269.75,46258.16,56917.35,26747,523124.51,21810.77046,25227,15018,2505,3838
5/9/2011,64271.75,44151.22,44559.85,28555.05,1317.12,360397.76,49232.14,53952.24,83816.15,37884.68,768137.96,34868.14076,28063,18895,4854,3838
5/10/2011,38829.77,31209.6,31173.59,13258.5,2267.85,149723.25,31815.42,31821.04,48446.72,15536.34,394082.08,34831.92071,26843,16765,4611,3838
5/11/2011,40968.93,30850.32,31519.59,16002.01,1405.72,168751.07,34336.38,32033.34,52732.27,13304.29,421903.92,34205.21997,27640,17180,3965,3838
5/12/2011,29185.24,28724.79,26628.08,12124.03,3358.47,96131.32,24233.73,31220.57,40877.26,10498.62,302982.11,31044.55964,26972,13607,3899,3838
5/13/2011,25786.33,24464.09,27223.76,11356.48,2065.04,73656.02,28840.6,26309.12,36755.23,7583.5,264040.17,22480.3402,26351,14133,3209,3838
5/14/2011,29991.44,26322.2,33516.78,13889.11,2980.65,74567.66,25388.38,28657.96,36509.78,7851,279674.96,20756.25,26077,17826,2390,3838
5/15/2011,32262.03,57896.9,50136.6,8347.15,2507.22,143260.25,29332.22,30431.31,55522.25,43345.58,453041.51,29455.87022,28802,31528,3337,3838
5/16/2011,61558.77,42652.21,55828.77,16732.77,1979.34,151022.39,36222.15,46017.5,62388.04,16231.16,490633.1,32554.33015,30677,26472,4868,3838
5/17/2011,43728.87,49214.01,98642.85,20122.47,3660.58,170355.76,39102.93,40629.12,61890.75,14940.02,542287.36,32270.77018,29836,48812,5463,3838
5/18/2011,56804.81,50724.07,138996.39,24370.21,3125.21,208581.41,49164.88,39234.85,76842.22,18394.74,666238.79,30497.51072,30827,65027,5357,3838
5/19/2011,30165.24,29938.36,23618.24,13964.2,2381.4,113692.92,26512.18,26542.02,46899.47,12426.16,326140.19,34810.95932,24707,13998,5705,3838
5/20/2011,24335.95,24589.16,16184.54,8607.58,2270.69,70497.67,20900.38,24266.41,45402.11,8619.52,245674.01,27829.62982,23836,10688,2631,3838
5/21/2011,21940.3,20731.79,14950.99,7538.78,1837.49,66866.03,19760.09,22281.99,33632.87,7130.24,216670.57,22024.05019,22695,9675,2084,3838
5/22/2011,38250.15,34096.49,25126.29,14062.09,2415.31,141708.66,31030.83,36669.47,54828.68,14885.7,393073.67,29666.60979,25060,12713,2765,3838
5/23/2011,39499.24,40212.71,29499.24,15682.67,3113.8,162015.32,41250.12,34069.8,67615.42,16719.21,449677.53,35512.99032,28593,17515,3905,3838
5/24/2011,49643.59,37145.26,32772.68,22014.25,3499.28,202425.47,46225.58,36388.93,87617.11,14221.76,531953.91,28113.86021,28626,20227,5419,3838
5/25/2011,53666.36,32696.61,29122.76,24213.79,2697.54,286028.02,62147.82,33578.18,103690.9,18164.39,646006.37,23995.95003,26019,13080,5641,3838
5/26/2011,31855.38,32715.57,21222.32,13275.6,3075.26,126116.41,28485.5,28683.06,55207.48,16387.67,357024.25,22725.77989,26340,11780,5843,3838
5/27/2011,30794.89,24247.74,18569.04,12813.85,2681.58,78318.72,35678.74,27485.03,34955.24,6439.82,271984.65,17299.8601,24794,10799,3653,3838
5/28/2011,23231.53,24079.73,17426.3,8481.78,2499.08,88735.73,17859.87,26299.09,31822.15,9870.47,250305.73,14695.03002,24807,11039,2589,3838
5/29/2011,24644.62,24969.79,18961.31,10066.51,1832.09,94298.19,22264.05,25669.97,39543.11,9511.03,271760.67,16178.17006,26223,12642,2297,3838
5/30/2011,41370.06,40941.36,33714.52,19568.67,3452.1,233473.41,37398.05,38451.67,61894.44,25740.87,536005.15,19615.8003,29340,23114,3735,3838
5/31/2011,39402.16,41929.55,35988.07,16790.77,3942.79,133160.04,37349.7,40990.71,64643.12,12904.98,427101.89,26927.61875,34498,26839,4835,3838
6/1/2011,37858.82,43279.26,25150.55,14937.68,1607.55,141179.46,39581.07,36808.68,66645.13,15587.5,422635.7,26690.37004,33584,15888,4249,10726
6/2/2011,38382.69,37212.3,24231.57,13498.9,2021.06,116543.16,32169.87,33166.45,60009.5,11651.7,368887.2,21924.16004,31939,13663,3855,10726
6/3/2011,37451.58,34948.49,20883.82,11689.36,1064.4,114783,29918.89,32142.58,50877.37,12566.12,346325.61,19510.52001,31180,12051,3452,10726
6/4/2011,34289.98,29126.11,19092.7,10748.3,1252.89,89453.97,28331.35,28173.39,42754.8,9046.89,292270.38,17470.56988,28738,11613,2684,10726
6/5/2011,43298.65,44788.93,24240.66,13612.37,1015.68,127279.06,40376.88,42796.17,62773.74,11884.01,412066.15,21847.99921,30578,13694,2967,10726
6/6/2011,48045.98,55285.97,28673.22,17610.2,1781.59,180406.2,43902.03,46031.18,80061.84,21006.3,522804.51,27272.73996,32185,14133,4043,10726
6/7/2011,55691.08,49878.06,31653.14,22385.05,2515.57,183858.73,46328.9,42121.21,74492.31,15906.63,524830.68,27393.03003,31183,17284,4547,10726
6/8/2011,67164.9,59961.53,40784.38,25042.59,2251.21,298517.97,63007.82,51808.04,91506.78,27716.81,727762.03,26343.38515,31141,20259,5680,10726
6/9/2011,76880.89,75498.56,48822.87,35797.11,2867.36,419898.06,75837.83,51507.21,107057.74,37507.62,931675.25,26357.42019,33837,23872,7737,10726
6/10/2011,38179.73,43608.18,25505.81,13798.37,2209.67,126706.91,28245.22,33226.56,48179.77,15610.61,375270.83,20096.95992,29361,16079,7292,10726
6/11/2011,34334.65,40561.82,29999.28,13382.14,2556.27,107698.24,30868.14,35661.34,48078.02,11657.23,354797.13,18536.91984,28443,17643,2625,10726
6/12/2011,57466.79,61940.45,38894.55,22478.52,2553.66,178942.79,47919.88,56675.72,79574.28,18368.69,564815.33,24131.71005,29431,23146,4005,10726
6/13/2011,53369.48,67400.21,35740.07,24156.49,3120.2,192010.04,47223.16,54201.43,89304.76,22431.7,588957.54,30670.31029,30640,17116,4547,10726
6/14/2011,63856.33,73254.58,36993.44,25972.76,4160,250565.84,55069.55,59276.65,88040.59,28626.4,685816.14,30731.62459,28869,18647,5601,10726
6/15/2011,44377.26,43688.43,25834.45,14172.4,2476.01,98055.78,34677.94,37875.31,60525.04,10004.95,371687.57,27595.38998,34266,16023,3963,10726
6/16/2011,32071.09,37132.2,23556.44,15141.33,3303.15,140520.14,27428.79,30123.97,47712.09,18254.28,375243.48,24958.33005,33071,14715,3854,10726
6/17/2011,25178.06,31401.08,21844.58,12467.52,2525.63,95621.95,24846.53,25454.53,41301.96,10375.5,291017.34,20325.12013,24832,13655,3224,10726
6/18/2011,25832.47,27351.75,21445.72,9797.02,1386.59,80044.93,20047.24,26631.58,32511.39,6186.67,251235.36,17563.29995,23085,13886,2528,10726
6/19/2011,30887.3,31827.45,26342.93,11806.71,2842.42,100908.7,23101.47,31199.18,43133.18,8836.45,310885.79,21094.79994,23830,16518,2318,10726
6/20/2011,46879.1,44483.81,38397.78,17451.07,2928.28,199644.07,35186,37875.48,64634.43,19416.4,506896.42,30560.26005,28427,22356,4139,10726
6/21/2011,51111.47,40621.93,34499.4,18939.06,2898.44,228411.93,40124.07,33786.27,69213.1,17248.99,536854.66,33094.46001,25899,19844,4192,10726
